row: 15 col: 20 min: 0 max: 9

row: 0 col: 0 curr: 0 count: 6
row: 0 col 6 curr: 7 count: 9
row: 0 col 15 curr: 4 count: 5
row: 1 col: 0 curr: 0 count: 2
row: 1 col 2 curr: 4 count: 9
row: 1 col 11 curr: 0 count: 9
row: 2 col: 0 curr: 0 count: 5
row: 2 col 5 curr: 3 count: 15
row: 3 col: 0 curr: 3 count: 3
row: 3 col 3 curr: 0 count: 2
row: 3 col 5 curr: 3 count: 6
row: 3 col 11 curr: 7 count: 9
row: 4 col: 0 curr: 7 count: 10
row: 4 col 10 curr: 0 count: 10
row: 5 col: 0 curr: 0 count: 2
row: 5 col 2 curr: 1 count: 8
row: 5 col 10 curr: 0 count: 3
row: 5 col 13 curr: 8 count: 4
row: 5 col 17 curr: 9 count: 3
row: 6 col: 0 curr: 9 count: 5
row: 6 col 5 curr: 0 count: 3
row: 6 col 8 curr: 9 count: 5
row: 6 col 13 curr: 0 count: 4
row: 6 col 17 curr: 8 count: 3
row: 7 col: 0 curr: 8 count: 3
row: 7 col 3 curr: 9 count: 2
row: 7 col 5 curr: 0 count: 3
row: 7 col 8 curr: 9 count: 5
row: 7 col 13 curr: 0 count: 7
row: 8 col: 0 curr: 0 count: 7
row: 8 col 7 curr: 2 count: 6
row: 8 col 13 curr: 3 count: 1
row: 8 col 14 curr: 4 count: 6
row: 9 col: 0 curr: 0 count: 20
row: 10 col: 0 curr: 0 count: 20
row: 11 col: 0 curr: 0 count: 20
row: 12 col: 0 curr: 1 count: 20
row: 13 col: 0 curr: 1 count: 10
row: 13 col 10 curr: 6 count: 10
row: 14 col: 0 curr: 6 count: 10
row: 14 col 10 curr: 0 count: 10
