row: 15 col: 20 min: 0 max: 9

r: 0 c: 0 curr: 0 count: 6
r: 0 c: 6 curr: 7 count: 9
r: 0 c: 15 curr: 4 count: 5
r: 1 c: 0 curr: 0 count: 2
r: 1 c: 2 curr: 4 count: 9
r: 1 c: 11 curr: 0 count: 14
r: 2 c: 5 curr: 3 count: 18
r: 3 c: 3 curr: 0 count: 2
r: 3 c: 5 curr: 3 count: 6
r: 3 c: 11 curr: 7 count: 19
r: 4 c: 10 curr: 0 count: 12
r: 5 c: 2 curr: 1 count: 8
r: 5 c: 10 curr: 0 count: 3
r: 5 c: 13 curr: 8 count: 4
r: 5 c: 17 curr: 9 count: 8
r: 6 c: 5 curr: 0 count: 3
r: 6 c: 8 curr: 9 count: 5
r: 6 c: 13 curr: 0 count: 4
r: 6 c: 17 curr: 8 count: 6
r: 7 c: 3 curr: 9 count: 2
r: 7 c: 5 curr: 0 count: 3
r: 7 c: 8 curr: 9 count: 5
r: 7 c: 13 curr: 0 count: 14
r: 8 c: 7 curr: 2 count: 6
r: 8 c: 13 curr: 4 count: 7
r: 9 c: 0 curr: 0 count: 60
r: 12 c: 0 curr: 1 count: 30
r: 13 c: 10 curr: 6 count: 20
r: 14 c: 10 curr: 0 count: 10
